objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement,top_category,sub_category
231,,0cah5mQjkmY,Veyis Ateş ile Büyük Sorular Programı ,Mehmet Genç Gönüllüsü,2019-02-24,Veyis Ateş ile Büyük Sorular Programı ,TV Programı;Tarihçilik;İktisat,İstanbul,41.1292562,28.88335172,MG-231,Habertürk,Video,video/mp4,tr,https://www.youtube.com/watch?v=0cah5mQjkmY,,Görsel Arşiv,Video Kayıtları
225,söyleşi.jpg,cbTGHlmOQyM,Osmanlı Tarihine İktisadi Bakış,Mehmet Genç Gönüllüsü,2019-03-02,Osmanlı Tarihine İktisadi Bakış,Söyleşi;Kişiler;Mehmet Genç;İktisat;İktisadi Düşünce,İstanbul,41.1292562,28.88335172,MG-225,Önder Çarşamba Sohbetleri,Görüntü,image/jpg,tr,https://www.onder.org.tr/tr/Haber/carsamba-sohbetleri-hb92a9e,,Görsel Arşiv,Video Kayıtları
422,,bFJaukfHRrU,"5 Mart Hukuk Devleti Günü- Dr. Mehmet Genç, Osmanlı Yönetim Sisteminin Temel Özellikleri",Necmettin Semiz,2019-03-25,"5 Mart Hukuk Devleti Günü- Dr. Mehmet Genç, Osmanlı Yönetim Sisteminin Temel Özellikleri",Konferans;Hukuk;Osmanlı Tarihi;Yönetim Sistemi,"İstanbul,Fatih",41.01402807,28.96448902,MG-422,İÜHF İdare Hukuku YouTube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=bFJaukfHRrU,,Görsel Arşiv,Video Kayıtları
175,konferans.jpg,duHXusjLT4w,Osmanlı İktisadi Sistem ve Vakıflar,Mehmet Genç Gönüllüsü,2019-05-08,Osmanlı İktisadi Sistem ve Vakıflar,Konferans;İktisat;İktisadi Sistem;Toplum;Vakıflar,"Sakarya,Serdivan;Sakarya Üniversitesi;SASGEM",40.74227682,30.33280611,MG-175,"Sakarya Üniversitesi, Akademik ve Sosyal Gelişim Merkezi SASGEM",Görüntü,image/jpg,tr,https://haber.sakarya.edu.tr/osmanli-iktisadi-sistemi-ve-vakiflar-h89685.html,,Görsel Arşiv,Video Kayıtları
253,,duHXusjLT4w,Osmanlı İktisadi Sistemi ve Vakıflar,Mehmet Genç Gönüllüsü,2019-05-08,Osmanlı İktisadi Sistemi ve Vakıflar,Konferans;Toplum;Vakıflar;İktisat;İktisadi Sistem,Sakarya,40.74211,30.33296,MG-253,Sasgem SAU Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=duHXusjLT4w,,Görsel Arşiv,Video Kayıtları
314,sakarya.jpg,,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Mehmet Genç Gönüllüsü,2019-05-08,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Konferans,Sakarya,40.74211,30.33296,MG-314,Sakarya Üniversitesi,Görüntü,image/jpg,tr,https://haber.sakarya.edu.tr/osmanli-iktisadi-sistemi-ve-vakiflar-h89685.html,,Akademik,Konferans ve Bildiriler
315,sakarya1.jpg,,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Mehmet Genç Gönüllüsü,2019-05-08,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Konferans,Sakarya,40.74211,30.33296,MG-315,Sakarya Üniversitesi,Görüntü,image/jpg,tr,https://haber.sakarya.edu.tr/osmanli-iktisadi-sistemi-ve-vakiflar-h89685.html,,Akademik,Konferans ve Bildiriler
316,sakarya2.jpg,,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Mehmet Genç Gönüllüsü,2019-05-08,Sakarya Üniversitesi Osmanlı İktisadi Sistemi ve Vakıflar Konferansı,Konferans,Sakarya,40.74211,30.33296,MG-316,Sakarya Üniversitesi,Görüntü,image/jpg,tr,https://haber.sakarya.edu.tr/osmanli-iktisadi-sistemi-ve-vakiflar-h89685.html,,Akademik,Konferans ve Bildiriler
411,korkut.pdf,,"Abdullah Mesud Küçükkalay, Hikmetin Peşinde ÜÇ PORTRE: Mehmet Genç-Hüseyin Küçükkalay-Ahmet Tabakoğlu, İstanbul: Çizgi Kitabevi, 2018, 349 s.",Eren Ergüven,2019-09-01,Cem Korkut'un Abdullah Mesud Küçükalay'ın Hikmetin Peşinde ÜÇ PORTRE: Mehmet Genç-Hüseyin Küçükkalay-Ahmet Tabakoğlu eseri üzerine kitap değerlendirmesi.,Makale;Kitap Değerlendirmesi;Cem Korkut,"İstanbul,Üsküdar",41.02831927,29.02713024,MG-411,İnsan ve Toplum,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/insanvetoplum/article/1130386?issue_id=70400,,Biyografik,Aile Arşivi
423,,Wgxl5IzLOic,Bu Sesler Bizim - 7: Mehmet Genç,Necmettin Semiz,2019-11-15,Bu Sesler Bizim - 7: Mehmet Genç,Konuşma;İstanbul Şehir Üniversitesi,"İstanbul,Dragos",40.9072963,29.15364918,MG-423,Şehir Hepimizin,Video,video/mp4,tr,https://www.youtube.com/watch?v=Wgxl5IzLOic,,Görsel Arşiv,Video Kayıtları
317,samblog.jpg,,İstanbul Şehir Üniversitesi,Mehmet Genç Gönüllüsü,2020-01-04,İstanbul Şehir Üniversitesi,Biyografi;İstanbul Şehir Üniversitesi,"İstanbul,Altunizade;İstanbul Şehir Üniversitesi",41.025594,29.045055,MG-317,Samblog,Görüntü,image/jpg,tr,http://samblog.org/yonetim-kurulu-uyemiz-mehmet-genc-tuba-akademi-seref-uyesi-secildi/,,Biyografik,Hayat Hikayesi
429,,kHcgmXqhooQ,Mehmet Genç ve Sedat Anar ile Tecrübe Söyleşileri,Necmettin Semiz,2020-01-07,Mehmet Genç ve Sedat Anar ile Tecrübe Söyleşileri,Söyeşi;Otobiyografi;1950'lerin Türkiyesi;Devlet ve Ekonomi,"İstanbul,Bağlarbaşı",41.02426458,29.03335353,MG-429,GENÇ Podcast YouTube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=kHcgmXqhooQ,,Görsel Arşiv,Video Kayıtları
324,isam.jpg,,İsam Cuma Toplantıları,Mehmet Genç Gönüllüsü,2020-04-21,İsam Cuma Toplantıları,Toplantı;İsmail Erünsal,"İstanbul,Altunizade",41.025594,29.045055,MG-324,Kenan Yıldız Twitter Hesabı,Görüntü,image/jpg,tr,https://twitter.com/kenaniyldz/status/1252349526708346881,,Görsel Arşiv,Fotoğraflar
325,isam2.jpg,,İsam Cuma Toplantıları,Mehmet Genç Gönüllüsü,2020-04-21,İsam Cuma Toplantıları,Toplantı;İsmail Erünsal;Erol Özvar,"İstanbul,Altunizade",41.025594,29.045055,MG-325,Kenan Yıldız Twitter Hesabı,Görüntü,image/jpg,tr,https://twitter.com/kenaniyldz/status/1252349526708346881,,Görsel Arşiv,Fotoğraflar
326,isam3.jpg,,İsam Cuma Toplantıları,Mehmet Genç Gönüllüsü,2020-04-21,İsam Cuma Toplantıları,Toplantı;İsmail Erünsal;Abdurrahman Atçıl,"İstanbul,Altunizade",41.025594,29.045055,MG-326,Kenan Yıldız Twitter Hesabı,Görüntü,image/jpg,tr,https://twitter.com/kenaniyldz/status/1252349526708346881,,Görsel Arşiv,Fotoğraflar
230,söyleşi.jpg,,Dr. Mehmet Genç ile Söyleşi,Mehmet Genç Gönüllüsü,2020-09-04,Dr. Mehmet Genç ile Söyleşi,Söyleşi;Kişiler;Mehmet Genç,İstanbul,41.1292562,28.88335172,MG-230,,Görüntü,image/jpg,tr,https://www.dunyabulteni.net/genel-degerlendirme/dr-mehmet-genc-ile-soylesi-ayse-bohurler-h476966.html,,Biyografik,Aile Arşivi
255,,YGAoBDc9qmI,Marmara Üniversitesi Akademik Yıl Açılış Dersi,Mehmet Genç Gönüllüsü,2020-10-28,"""Osmanlı İmparatorluğu’nda Devlet ve Ekonomi"" | Marmara Ü. Akademik Yıl Açılış Dersi",Konferans,İstanbul,41.1292562,28.88335172,MG-255,Akademik Çalışmalar Youtube Kanalı ,Video,video/mp4,tr,https://www.youtube.com/watch?v=YGAoBDc9qmI,,Görsel Arşiv,Video Kayıtları
274,marmara.jpg,,Vefat Haberi,Mehmet Genç Gönüllüsü,2021-03-18,Vefat Haberi,Biyografi,İstanbul,41.1292562,28.88335172,MG-274,Marmara Üniversitesi,Görüntü,image/jpg,tr,https://www.marmara.edu.tr/news/universitemiz-emekli-ogretim-uyelerinden-dunyaca-unlu-osmanli-tarihcisi-hocamiz-mehmet-genc-vefat-etti,,Biyografik,Vefeyat ve Anma
354,iyc.jpg,,Mehmet Genç İlim Yayma Cemiyeti'nde,Mehmet Genç Gönüllüsü,2021-03-18,Mehmet Genç İlim Yayma Cemiyeti'nde,Biyografi;İlim Yayma Cemiyeti,İstanbul,41.1292562,28.88335172,MG-354,İlim Yayma Cemiyeti Vakfı Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/iycgenelmerkez/status/1372647761229836288,,Biyografik,Hayat Hikayesi
355,fazlıoglu.jpg,,Taşköprülüzade'nin Dünyası Sempozyumu,Mehmet Genç Gönüllüsü,2021-03-18,Taşköprülüzade'nin Dünyası Sempozyumu,Sempozyum;16.Yy;Kişiler;İhsan Fazlıoğlu,İstanbul,41.1292562,28.88335172,MG-355,İhsan Fazlıoğlu Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/ihsanfazlioglu/status/1372633025943572486,,Biyografik,Aile Arşivi
356,derin.jpg,,Mehmet Genç,Mehmet Genç Gönüllüsü,2021-03-18,Mehmet Genç,Biyografi,İstanbul,41.1292562,28.88335172,MG-356,Derin Tarih Dergisi Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/derintarih/status/1372652474352406541,,Biyografik,Hayat Hikayesi
228,söyleşi.jpg,,Artvinli Ünlü Tarihçi Mehmet Genç'le Söyleşi,Mehmet Genç Gönüllüsü,2021-03-19,Artvinli Ünlü Tarihçi Mehmet Genç'le Söyleşi,Söyleşi;Kişiler;Mehmet Genç,İstanbul,41.1292562,28.88335172,MG-228,Türkiye Yazarlar Birliği,Görüntü,image/jpg,tr,https://www.tyb.org.tr/artvinli-unlu-tarihci-mehmet-gencle-soylesi-48477h.htm,,Biyografik,Aile Arşivi
280,,dc-RXpDduQk,Osmanlı Ekonomi Tarihine Adanmış Bir Ömür: Mehmet Genç,Mehmet Genç Gönüllüsü,2021-03-19,Osmanlı Ekonomi Tarihine Adanmış Bir Ömür: Mehmet Genç,Haber,İstanbul,41.1292562,28.88335172,MG-280,Anadolu Ajansı,Video,video/mp4,tr,https://www.youtube.com/watch?v=dc-RXpDduQk&t=11s,,Görsel Arşiv,Video Kayıtları
319,dunyabizim3.jpg,,Osmanlı Kapitalizm İlişkisi Başlıklı Söyleşi,Mehmet Genç Gönüllüsü,2021-03-19,Osmanlı Kapitalizm İlişkisi,Söyleşi,"İstanbul,Altunizade",41.025594,29.045055,MG-319,Dünyabizim,Görüntü,image/jpg,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-osmanlilar-toprak-ve-emek-gibi-sermayeyi-de-kontrol-ediyorlar-h835.html,,Biyografik,Aile Arşivi
320,dunyabizim4.jpg,,Osmanlı Kapitalizm İlişkisi Başlıklı Söyleşi,Mehmet Genç Gönüllüsü,2021-03-19,Osmanlı Kapitalizm İlişkisi ,Söyleşi,"İstanbul,Altunizade",41.025594,29.045055,MG-320,Dünyabizim,Görüntü,image/jpg,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-osmanlilar-toprak-ve-emek-gibi-sermayeyi-de-kontrol-ediyorlar-h835.html,,Biyografik,Aile Arşivi
329,trtworld.pdf,,"Giant of Ottoman Economic history, Mehmet Genc, Laid to Rest",Mehmet Genç Gönüllüsü,2021-03-19,Vefatının ardından yayınlanan yazı,Vefeyat,İstanbul,41.1292562,28.88335172,MG-329,TRT World,Döküman,application/pdf,eng,https://www.trtworld.com/magazine/giant-of-ottoman-economic-history-mehmet-genc-laid-to-rest-45158,,Biyografik,Vefeyat ve Anma
341,yalcın.jpg,,Beş Şehirli Programı,Mehmet Genç Gönüllüsü,2021-03-19,Haluk Dursun'un düzenlediği Beş Şehirli Programının ardından bir hatıra fotoğrafı,Kitap Tanıtımı;Kişiler;Emin Işık;İrfan Çiftçi;İsmail Kara;Haluk Dursun,İstanbul,41.1292562,28.88335172,MG-341,Mehmet Yalçın Yılmaz twitter hesabından,Görüntü,image/jpg,tr,https://twitter.com/myalcinyilmaz/status/1372683142025388034/photo/1,,Akademik,Yazılı Eserler
342,enesoglu.jpg,,Vefat Haberi,Mehmet Genç Gönüllüsü,2021-03-19,Twitterda Paylaşılan Vefat Haberi,Biyografi,İstanbul,41.1292562,28.88335172,MG-342,Mustafa Enesoğlu twitter hesabından,Görüntü,image/jpg,tr,https://twitter.com/mustafaenesoglu/status/1372817262474883073,,Biyografik,Vefeyat ve Anma
352,aktay.jpg,,Mehmet Genç,Mehmet Genç Gönüllüsü,2021-03-19,Mehmet Genç,Biyografi,,,,MG-352,Yasin Aktay Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/yaktay/status/1372671093681631235,,Biyografik,Hayat Hikayesi
353,aktay2.jpg,,Mehmet Genç ile Yasin Aktay,Mehmet Genç Gönüllüsü,2021-03-19,Mehmet Genç ile Yasin Aktay,Biyografi;Kişiler;Yasin Aktay,,,,MG-353,Yasin Aktay Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/yaktay/status/1372671093681631235,,Biyografik,Hayat Hikayesi
357,turkocaklari.jpg,,Mehmet Genç,Mehmet Genç Gönüllüsü,2021-03-19,Mehmet Genç,Biyografi,İstanbul,41.1292562,28.88335172,MG-357,Türk Ocakları Twitter Hesabı ,Görüntü,image/jpg,,https://twitter.com/turkocaklari/status/1372661278993440770,,Biyografik,Hayat Hikayesi
