objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement,top_category,sub_category
304,lacivert.pdf,,Hac Yolundaki Karıncanın Vedası: Mehmet Genç,Mehmet Genç Gönüllüsü,2021-04,Vefatının ardından Coşkun Yılmaz ile Lacivert Dergisi'nde yapılan röportaj,Vefeyat;Söyleşi;Coşkun Yılmaz,İstanbul,41.1292562,28.88335172,MG-304,Lacivert Dergisi,Döküman,application/pdf,tr,https://www.lacivertdergi.com/,,Biyografik,Aile Arşivi
1,birikim.pdf,,Buruk Ölümler,Mehmet Genç Gönüllüsü,2021-04-03,Vefatının ardından Adnan Ekşigil tarafından Birikim dergisinde hakkında yazılanlar.,Vefeyat;Adnan Ekşigil,İstanbul,41.1292562,28.88335172,MG-1,Birikim Güncel,Döküman,application/pdf,tr,https://www.acikgazete.com/buruk-olumler/,,Biyografik,Vefeyat ve Anma
350,altintas.jpg,,Mehmet Genç öğrencileriyle,Mehmet Genç Gönüllüsü,2021-04-04,Mehmet Genç öğrencileriyle,Biyografi;Kişiler;Muhammed Esat Altıntaş,İstanbul,41.1292562,28.88335172,MG-350,Muhammed Esat Altıntaş Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/altintasme/status/1378704359748423681/photo/1,,Biyografik,Hayat Hikayesi
260,,OnDWbUneQBk,"""Arhavi'den Arşive"" Mehmet Genç'in Ardından",Mehmet Genç Gönüllüsü,2021-04-11,"""Arhavi'den Arşive"" Mehmet Genç'in Ardından",Konuşma,İstanbul,41.1292562,28.88335172,MG-260,İstanbul İktisat Fakültesi Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=wtsHHiReNTg&t=5103s,,Görsel Arşiv,Video Kayıtları
262,dunyabizim.png,,Dünya Bizim Röportajı ,Mehmet Genç Gönüllüsü,2021-04-15,Dünya Bizim Röportajı ,Röportaj,İstanbul,41.1292562,28.88335172,MG-262,Dünya Bizim,Görüntü,image/png,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-in-hayati-ve-ilim-yolculugu-h28074.html,,Akademik,Röportaj ve Söyleşiler
263,dunyabizim2.png,,Dünya Bizim Röportajı ,Mehmet Genç Gönüllüsü,2021-04-15,Dünya Bizim Röportajı ,Röportaj,İstanbul,41.1292562,28.88335172,MG-263,Dünya Bizim,Görüntü,image/png,tr,https://www.dunyabizim.com/soylesi/mehmet-genc-in-hayati-ve-ilim-yolculugu-h28074.html,,Akademik,Röportaj ve Söyleşiler
7,star.pdf,,Her Kâğıdın İki Yüzü Vardır,Mehmet Genç Gönüllüsü,2021-04-16,Vefatının ardından Köln Başkonsolosluğu Eğitim Ataşesi Mustafa Gençer tarafından Star Gazetesi'nde hakkında yazılanlar.,Vefeyat;Mustafa Gençer,İstanbul,41.1292562,28.88335172,MG-7,Star Gazetesi,Döküman,application/pdf,tr,https://m.star.com.tr/acik-gorus/her-kagidin-iki-yuzu-vardir-haber-1623708/,,Biyografik,Vefeyat ve Anma
11,ihtifal.jpeg,,Mehmet Genç İhtifali,Mehmet Genç Gönüllüsü,2021-04-17,Mehmet Genç İhtifali,Anma Programı,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,MG-11,Bilim ve Sanat Vakfı,Görüntü,image/jpg,tr,https://twitter.com/bisavorgtr/status/1382414164837158919,,Akademik,Röportaj ve Söyleşiler
305,ulesam.pdf,,Osmanlı İktisat Tarihinde Bir Çınar: Mehmet Genç,Mehmet Genç Gönüllüsü,2021-04-22,Vefatının ardından Aslıhan Nakiboğlu tarafından hazırlanan araştırma-inceleme yazısı,Araştırma;Aslıhan Nakiboğlu,İstanbul,41.1292562,28.88335172,MG-305,Ulesam,Döküman,application/pdf,tr,https://ulesam.org/osmanli-iktisat-tarihinde-bir-cinar-mehmet-genc.html,,Biyografik,Aile Arşivi
321,,eGjmJTF7_r4,Mehmet Genç'i Anma ve Anlama Paneli,Mehmet Genç Gönüllüsü,2021-05-03,Mehmet Genç'i Anma ve Anlama Paneli,Panel,İstanbul,41.1292562,28.88335172,MG-321,Tarihçiler Medya Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=eGjmJTF7_r4&t=272s,,Görsel Arşiv,Video Kayıtları
368,bisav.pdf,,Engin Deniz Akarlı’nın Gözünden Mehmet Genç,Mehmet Genç Gönüllüsü,2021-05-06,"17 Nisan 2021 tarihinde, BİSAV bünyesinde gerçekleştirilen ihtifalde sunulmak üzere",Anma Programı;Engin Deniz Akarlı,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,MG-368,Bilim ve Sanat Vakfı,Döküman,application/pdf,,https://blog.bisav.org.tr/2021/05/06/engin-deniz-akarlinin-gozunden-mehmet-genc/,,Akademik,Röportaj ve Söyleşiler
399,cumalibozpınar.pdf,,"Editöre Mektup: Hac Yolunda Bir Karınca, Prof. Dr. Mehmet Genç",Mehmet Ali Çiftçi,2021-06-10,"Vefatının ardından Dr. Cumali Bozpinar tarafından yazılan Mehmet  Genç'in etkisine dair, Kültür Araştırmaları Dergisi editörüne yazılan ve aynı dergide yayınlanan mektup",Mektup;Vefeyat;Cumali Bozpinar,Çanakkale Onsekiz Mart Üniversitesi,40.113443,26.4204704,MG-399,"Kültür Araştırmaları Dergisi 9, 379–381.",Döküman,application/pdf,tr,https://dergipark.org.tr/en/download/article-file/1761400,,Biyografik,Vefeyat ve Anma
395,coşkunçakırvefayat.pdf,,"""İmparatorluğun İktisat Tarihçisi"" Mehmet Genç (1934-2021): Hayatı, Kişiliği, Eserleri",Mehmet Ali Çiftçi,2021-06-30,"Vefatının ardından Prof. Dr. Coşkun Çakır tarafından yazılan, Dîvân: Disiplinler Arası Çalışma Dergisinde yayınlanan vefeyat yazısı",Vefeyat;Coşkun Çakır,İstanbul,41.1292562,28.88335172,MG-395,"Divan: Disiplinlerarası Çalışmalar Dergisi 26, 253-81.",Döküman,application/pdf,tr,https://dergipark.org.tr/en/download/article-file/1855819 ,,Biyografik,Vefeyat ve Anma
407,,,Mehmet Genç ve Sanata Dönüşen Tarihçilik,Berk Özkaya,2021-08-08,Mustafa Özel'in Mehmet Genç hakkındaki Nihayet Dergisi'ndeki yazısı.,Vefeyat;Mustafa Özel,İstanbul,41.1292562,28.88335172,MG-407,Nihayet Dergisi,Döküman,application/pdf,tr,https://www.gzt.com/kultur/mehmet-genc-ve-sanata-donusen-tarihcilik-3592921,,Biyografik,Vefeyat ve Anma
398,tayfunulaş.pdf,,"Mehmet Genç'in Ardından: Her Daim ""Genç"" Kalan",Mehmet Ali Çiftçi,2021-08-13,"Vefatının ardından Dr. Tayfun Ulaş tarafından yazılan, Ankara Üniversitesi Osmanlı Tarihi Araştırma ve Uygulama Merkezi Dergisinde yayınlanan vefeyat",Vefeyat;Tayfun Ulaş,Ankara,39.9753847,32.75741589,MG-398,"OTAM Ankara Üniversitesi Osmanlı Tarihi Araştırma ve Uygulama Merkezi Dergisi 49, 185–189.",Döküman,application/pdf,tr,https://dergipark.org.tr/tr/download/article-file/2171952,,Biyografik,Vefeyat ve Anma
418,niçinazyazdı.pdf,,Mehmet Genç Niçin Az Yazdı?,Berk Özkaya,2021-10-15,Beşir Ayvazoğlu'nun Mehmet Genç'in niçin az yazı kaleme aldığına dair çalışması.,Sempozyum;Beşir Ayvazoğlu;Biyografi,İstanbul;Üsküdar;Uluslararası Üsküdar Sempozyumu,,,MG-418,,Döküman,application/pdf,tr,https://www.academia.edu/106089342/%C3%9CSK%C3%9CDAR_SEMPOZYUMU_XI_3_Tebli%C4%9Fler?sm=b&rhid=37645351868,,Biyografik,Aile Arşivi
441,Mgenc_Sempozyum_Gungoren_Marmara.jpg,,Mehmet Genç Anısına Uluslararası Osmanlı Tarihi Sempozyumu,Mehmet Genç Gönüllüsü,2021-12-17,Marmara Üniversitesi Tarih Bölümü ve Güngören Belediyesinin Düzenlediği 2 günlük 15 oturumdan oluşan sempozyum,Sempozyum;Marmara;Güngören,Güngören Belediyesi,41.01026,28.875239,MG-442,Sempozyum Web Stiesi,Görüntü,image/jpg,tr,https://uoits.gungoren.bel.tr/,,Akademik,Konferans ve Bildiriler
403,birâliminhayat.pdf,,Mehmet Genç Bir Âlimin Hayat ve İlim Serencamı,M.Enes Hasmescioğlu,2022-03-01,Mehmet Genç'in vefatından sonra Prof.Dr.Abdullah Mesut Küçükkalay'ın yazdığı Ötüken Yayınevinde basılan kitap ,Kitap;Vefeyat;Abdullah Mesut Küçükkalay;Biyografi,İstanbul ,41.1292562,28.88335172,MG-403,Ötüken,Döküman,application/pdf,tr,https://www.otuken.com.tr/mehmet-genc?srsltid=AfmBOorkhQgvvB4pk9ujlf1RYyTt-34YtOOdVvmc-i6x-U6sCqn7kY8a,,Biyografik,Vefeyat ve Anma
416,,xEyN3SG9bEA,Bir mütefekkirin portresi: Mehmet Genç | Derin Tarih,Necmettin Semiz,2022-04-02,Bir mütefekkirin portresi: Mehmet Genç | Derin Tarih,TV Programı;Biyografi;Hac Yolunda Bir Karınca;Taha Kılınç;Beşir Ayvazoğlu,"İstanbul,Zeytinburnu",41.01983554,28.91789589,MG-416,TVNET,Video,video/mp4,tr,https://www.youtube.com/watch?v=xEyN3SG9bEA,,Görsel Arşiv,Video Kayıtları
410,yeşilyurt.pdf,,"Mehmet Genç ve Erol Özvar, Osmanlı Ekonomisine Dair Konuşmalar I, Ötüken Neşriyat, 2021, 227 s.",Eren Ergüven,2022-06-16,Şahin Yeşilyurt'un Mehmet Genç ve Erol Özvar'ın Osmanlı Ekonomisine Dair Konuşmalar I eseri üzerine kitap değerlendirmesi.,Makale;Kitap Değerlendirmesi;Şahin Yeşilyurt,"İstanbul,Üsküdar",41.02831927,29.02713024,MG-410,İnsan ve Toplum,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/insanvetoplum/article/1131919?issue_id=70340,,Biyografik,Aile Arşivi
447,kabri.jpg,,Tarihçiliğimizin duayenlerinden İktisat tarihçisi Mehmet Genç hocamızın kabri,Mehmet Genç Gönüllüsü,2022-10-03,Coşkun Yılmaz'ın Fatih Haziresinde tamamlanan Mehmet Genç kabrine dair paylaşımı,Fotoğraf;Mezar;Kabir;Coşkun Yılmaz,"İstanbul,Fatih",41.01850936,28.95067142,MG-448,X,Görüntü,image/jpg,tr,https://x.com/coskunyilmaz66/status/1565964537341386752,,Biyografik,Vefeyat ve Anma
406,osamer.pdf,,"OSAMER Konuşmaları Serisinin İlk Halkası: “Mütevazı Bir İnsan, Mütebahhir Bir Alim: Mehmet Genç” Faaliyet Raporu",Hamdi Sefa Keskin,2022-10-04,"OSAMER Konuşmaları Serisinin İlk Halkası: “Mütevazı Bir İnsan, Mütebahhir Bir Alim: Mehmet Genç” Faaliyet Raporu",Makale;İktisat Tarihi;Biyografi,"İstanbul,Fatih",41.01109,28.97429,MG-406,Sakarya Üniversitesi,Döküman,application/pdf,tr,https://search.trdizin.gov.tr/tr/yayin/detay/1134120,,Akademik,Yazılı Eserler
408,kadim.pdf,,Mehmet Genç: Bir Âlimin Hayat ve İlim Serencamı,Eren Ergüven,2022-10-15,Numan Elibol'un Abdullah Mesud Küçükalay'ın Mehmet Genç hakkındaki eserinin Kadim Dergisi'ndeki kitap değerlendirmesi.,Makale;Kitap Değerlendirmesi;Numan Elibol,"Sakarya,Esentepe;Sakarya Üniversitesi",40.74277388,30.33069228,MG-408,Kadim,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/kadim/article/1185424?issue_id=73030,,Akademik,Yazılı Eserler
431,,,Derin Tarih'in Mehmet Genç Paylaşımı,Berk Özkaya,2023-04-13,Mehmet Genç'in Bir Sözü,Facebook;Söz;Derin Tarih,İstanbul,41.1292562,28.88335172,MG-432,Derin Tarih,Görüntü,application/pdf,tr,https://www.facebook.com/photo/?fbid=6460396317325754&set=a.610900214415970&locale=tr_TR,,Diğer,Genel
421,gencvegoethe.pdf,,İhsan Fazlıoğlu: Mehmet Genç ve Goethe,Berk Özkaya,2023-08-19,İhsan Fazlıoğlu'nun Mehmet Genç'in bir sözünü hatırlatan tweeti,Tweet;Söz;İhsan Fazlıoğlu,,,,MG-421,X,Döküman,application/pdf,tr,https://x.com/ihsanfazlioglu/status/1692876359335370763,,Biyografik,Aile Arşivi
425,mgencanısınasempozyum.jpg,,Mehmet Genç Anısına Osmanlı Tarihi Sempozyumu,Berk Özkaya,2023-10-03,Türk Tarihçiler Birliği grubunun Mehmet Genç anısına düzenlenen sempozyum hakkındaki paylaşımı.,Sempozyum;Kültür ve Turizm Bakanlığı;Atatürk Kültür Dil ve Tarih Yüksek Kurumu;Türk Tarih Kurumu;Artvin Çoruh Üniversitesi,"Artvin,Çoruh Universitesi",,,MG-425,Mehmet Çetinkaya Facebook,Görüntü,image/jpg,tr,https://www.facebook.com/groups/226974550819146/permalink/2427238834126029/?rdid=7KZzglSG8HJg6GhF#,,Akademik,Konferans ve Bildiriler
402,sempozyum.pdf ,,Cumhuriyet Nesli Bir Bilge Mehmet Genç,M.Enes Hasmescioğlu ,2023-10-21,Vefatının ardından Mehmet Genç adına düzenlenen sempozyum ve sonrasında bildirilerin toplanması ile hazırlanan kitap ,Sempozyum;Kitap;Vefeyat,"İstanbul,Üsküdar",41.0321334,29.03302579,MG-402,Mehmet Akif İnan Vakfı ,Döküman,application/pdf,tr,https://www.maiv.org.tr/Yayin/Yayinlar#,,Biyografik,Vefeyat ve Anma
401,nasyonelsosyalizm.pdf,,Historicizing National Socialism and Mehmet Genç,M.Enes Hasmescioğlu,2023-10-30,Mehmet Genç'in Nasyonel Sosyalizm tahlilleri üzerine Ahmet Okumuş'un İstanbul İktisat Dergisinde yayınlanan değerlendirmesi ,Makale;İktisadi Düşünce;Ahmet Okumuş ,İstanbul ,41.1292562,28.88335172,MG-401,"İstanbul İktisat Dergisi ,73 ,865-884",Döküman,application/pdf,eng ,https://iupress.istanbul.edu.tr/journal/ije/article/historicizing-national-socialism-and-mehmet-genc,,Akademik,Yazılı Eserler
409,telakki.pdf,,Mehmet Genç Üzerine Biyografik Bir Araştırma,Eren Ergüven,2023-12-31,"N. Ümit Tol'un Mehmet Genç'in akademik yaşamı, iktisat tarihi hakkındaki görüşleri ve çalışmalarıyla literatüre sunduğu katkılar hakkında genel bir değerlendirmesi.",Makale;N. Ümit Tol,Ankara,39.93602693,32.84241563,MG-409,Telakki Sosyal Bilimler Dergisi,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/telakkisbd/article/1388580?issue_id=82392,,Akademik,Yazılı Eserler
446,ahmetfarukyilmaz.jpg,,"""Hac yolunda bir karınca"" Merhum Mehmet Genç Hoca anısına",Mehmet Genç Gönüllüsü,2024-06-23,İstanbul Şehir Üniversitesi'ndeki talebelerinden Ahmet Faruk Yılmaz'ın karakalem çalışması. Çizimin sol alt kısmındaki tarihi Prof. Dr. Halit Özkan, hocanın vefatı üzerine düşürmüştür. ,Çizim;Ahmet Faruk Yılmaz;Halit Özkan;Ebced,,,,MG-447,X,Görüntü,image/jpg,tr,https://x.com/afaruk_yilmaz/status/1804974186193973723,,Görsel Arşiv,Fotoğraflar
420,,,Wagner Gibi Yazmak: Mehmet Genç,Berk Özkaya,2025-03-13,Halid Kandemir'in Mehmet Genç hakkındaki yazısı.,Makale;Halid Kandemir ,İstanbul,41.1292562,28.88335172,MG-420,Tercüman,Döküman,application/pdf,tr,https://www.tercuman.com/kultur-sanat/wagner-gibi-yazmak-mehmet-genc-644,,Akademik,Yazılı Eserler
405,yahyaayyıldız.pdf,,Mehmet Genç’in Osmanlı İktisadi Dünya Görüşü İlkelerinin Analitik Kritiği ve İktidar Birikimi,Hamdi Sefa Keskin,2025-08,Mehmet Genç’in Osmanlı İktisadi Dünya Görüşü İlkelerinin Analitik Kritiği ve İktidar Birikimi,Makale;Osmanlı;İaşecilik;Fiskalizm;Yahya Ayyıldız,"Sakarya,Serdivan",40.74132,30.33603,MG-405,Sakarya Üniversitesi İktisat Dergisi,Döküman,application/pdf,tr,https://dergipark.org.tr/tr/pub/sid/article/1694873,,Akademik,Yazılı Eserler
432,sarıklıgenchoca.pdf,,Sarıklı&Cübbeli Mehmet Genç Hoca,Berk Özkaya,2025-11-01,Mehmet Genç'in Cami'de Vaaz Vermesi,Twitter;Zülfikar Kürüm;Sümbül Efendi Camii;Kocamustafapaşa,"İstanbul,Sümbül Efendi Camii",41.0033248,28.9286564,MG-433,X,Döküman,application/pdf,tr,https://x.com/kyokyu_kyushu/status/1984479092893253889,,Diğer,Genel
448,ZKurum_MGenc_Parfum.pdf,,Mehmet Genç'in Parfümü,Mehmet Genç Gönüllüsü,2025-11-09,Zülfikar Kürüm'ün X'te paylaştığı 2014 yıllarına ait hatıralar. Mehmet Genç'in Halston Z-14 isimli parfümü; Kahvaltı Programları,Hatıra;Zülfikar Kürüm;Parfüm;Kahvaltı;Abdulhamit Kırmızı;Ziya Taşkent;Celaleddin Çelik;Enes Tufan;Talha Çiçek;Nietzche;Almanca,"İstanbul,Altunizade",41.02077525,29.04575097,MG-449,X,Döküman,application/pdf,tr,https://x.com/kyokyu_kyushu/status/1987277267282895030,,Diğer,Genel
359,sakul.jpg,,Mehmet Genç Meçnikov Üniversitesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Meçnikov Üniversitesi'nde bir belgenin fotoğrafını alırken,Biyografi;Meçnikov Üniversitesi;Odessa;Kahraman Şakul,"Ukrayna,Odessa",46.48742097,30.73066681,MG-359,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354370541162497,,Biyografik,Hayat Hikayesi
360,sakul2.jpg,,Mehmet Genç Meçnikov Üniversitesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Mehmet Genç Meçnikov Üniversitesi'nde,Kişiler;Mehmet İpşirli;Feridun Emecen;Olaksandr Sereda;Vyaçeslav Kuşnir;Kahraman Şakul,"Ukrayna,Odessa",46.48742097,30.73066681,MG-360,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354370541162497,,Görsel Arşiv,Fotoğraflar
361,sakul3.jpg,,Mehmet Genç Potemkin Merdivenleri'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Mehmet Genç Potemkin Merdivenleri'nde,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa",46.48988585,30.74258008,MG-361,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354380594970626,,Görsel Arşiv,Fotoğraflar
362,sakul4.jpg,,Akkerman Kalesi Yolunda,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi Yolunda,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-362,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354397879664642,,Görsel Arşiv,Fotoğraflar
363,sakul5.jpg,,Akkerman Kalesi Yolunda,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi Yolunda,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-363,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354397879664642,,Görsel Arşiv,Fotoğraflar
364,sakul6.jpg,,Akkerman Kalesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi'nde ,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-364,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354410139607042,,Görsel Arşiv,Fotoğraflar
365,sakul7.jpg,,Akkerman Kalesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi'nde ,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-365,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354410139607042,,Görsel Arşiv,Fotoğraflar
366,sakul8.jpg,,Akkerman Kalesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi'nde ,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-366,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354410139607042,,Görsel Arşiv,Fotoğraflar
367,sakul9.jpg,,Akkerman Kalesi'nde,Mehmet Genç Gönüllüsü,2013-04-17/19,Akkerman Kalesi'nde ,Kişiler;Mehmet İpşirli;Feridun Emecen;Kahraman Şakul,"Ukrayna,Odessa;Akkerman",46.20060842,30.35039763,MG-367,Kahraman Şakul Twitter Hesabı,Görüntü,image/jpg,,https://twitter.com/KahramanSakul/status/1373354410139607042,,Görsel Arşiv,Fotoğraflar
10,kitapdergisi.pdf,,Osmanlı Dünyasına Bilge Bir Bakış: Mehmet Genç,Mehmet Genç Gönüllüsü,,Vefatının ardından Kitap Dergisi'nde hakkında yazılanlar.,Vefeyat,İstanbul,41.1292562,28.88335172,MG-10,Kitap Dergisi,Döküman,application/pdf,tr,http://www.gundogan.com/kitapdergisi/MAKALE.asp?HABERID=122,,Biyografik,Vefeyat ve Anma
93,seminer.jpg,,Osmanlı’da Toplum ve Ekonomi Semineri,Mehmet Genç Gönüllüsü,,Osmanlı’da Toplum ve Ekonomi Semineri,Seminer;Ekonomi;Toplum,"Yalova,Armutlu",40.51980708,28.82752876,MG-93,"Yalova, Armutlu",Görüntü,image/jpg,tr,,,Akademik,Konferans ve Bildiriler
215,islamekonomisi.pdf,,Prof. Mehmet Genç’le Yapılan Bir Röportaj,Mehmet Genç Gönüllüsü,,Prof. Mehmet Genç’le Yapılan Bir Röportaj,Röportaj;Kişiler;Mehmet Genç,İstanbul,41.1292562,28.88335172,MG-215,İslam Ekonomisi: Talim ve Tedrik Merkezi,Döküman,application/pdf,tr,https://islamekonomisi.org/osmanli-iktisadi-ve-ilkeleri/,,Akademik,Röportaj ve Söyleşiler
266,academia.jpg,,Academia Profil Fotoğrafı,Mehmet Genç Gönüllüsü,,Academia Profil Fotoğrafı,Biyografi,İstanbul,41.1292562,28.88335172,MG-266,Academia,Görüntü,image/jpg,tr,https://sehir.academia.edu/MGen%C3%A7,,Biyografik,Hayat Hikayesi
281,twitter.jpg,,Mehmet Genç,Mehmet Genç Gönüllüsü,,Mehmet Genç,Biyografi,İstanbul,41.1292562,28.88335172,MG-281,Zeynep Çiğdem Hanım Twitter Hesabı,Görüntü,image/jpg,tr,,,Biyografik,Hayat Hikayesi
297,kenanyildiz.jpg,,Mehmet Genç,Mehmet Genç Gönüllüsü,,Mehmet Genç,Biyografi,"İstanbul,Altunizade",41.025594,29.045055,MG-297,Kenan Yıldız Twitter Hesabı,Görüntü,image/jpg,tr,https://twitter.com/kenaniyldz/status/1384952484465152003?s=20,,Biyografik,Hayat Hikayesi
323,,wStjfRjByXI,Marmara Kıraathanesi,Mehmet Genç Gönüllüsü,,Marmara Kıraathanesi,Belgesel,İstanbul,41.1292562,28.88335172,MG-323,Yedirenk Film Youtube Kanalı,Video,video/mp4,tr,https://www.youtube.com/watch?v=wStjfRjByXI,,Görsel Arşiv,Video Kayıtları
345,arifbilgin.jpg,,Mehmet Genç ve Nuri Pakdil ,Mehmet Genç Gönüllüsü,,Mehmet Genç ve Nuri Pakdil,Toplantı;Kişiler;Nuri Pakdil;Arif Bilgin,Sakarya,40.7426718,30.3307216,MG-345,Arif Bilgin,Görüntü,image/jpg,tr,,,Görsel Arşiv,Fotoğraflar
449,Tarih_HalitOzkan.jpg,,Vefatına Dair Düşürülen Tarih,Mehmet Genç Gönüllüsü,2021-03-19,Halit Özkan tarafından hocanın vefatına dair ebced ile düşürülen Tarih. “Hayy!” de kalk ey müverrih bak ne yazar taşında // Genç Hoca melek oldu seksen yedi yaşında (1442),Tarih Düşürme;Halit Özkan;Vefeyat;Biyografi;M. Cüneyt Kaya,"İstanbul",41.1292562,28.88335172,MG-450,X,Görüntü,image/jpg,tr,https://x.com/mcnytky/status/1372798908565352450
